nav_id,role_id,role_name,door,group_id,label_ar,route,sort,active,module_id,module_code
125,10,"مشرف اسطول",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,30,1,115,FinRequests/my_requests.php
475,10,"مشرف اسطول",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
118,10,"مشرف اسطول",REC,,المعدات,Equipments/equipments_fleet.php,10,1,8,Equipments/equipments_fleet.php
122,10,"مشرف اسطول",REC,,المشرفين,main/project_users.php,20,1,14,main/project_users.php
128,10,"مشرف اسطول",REC,,"الأصول والإهلاك",Finance/assets_fin.php,30,1,101,Finance/assets_fin.php
123,10,"مشرف اسطول",REP,,"مركز التقارير",Reports/reports.php,10,1,4,Reports/reports.php
127,10,"مشرف اسطول",REP,,"التكاليف والربحية",Finance/cost_report_fin.php,20,1,92,Finance/cost_report_fin.php
119,10,"مشرف اسطول",SET,,"الأنواع والموديلات",Equipments/fleet_models.php,10,1,40,Equipments/fleet_models.php
120,10,"مشرف اسطول",SET,,"إعداد الإهلاك",Equipments/fleet_depreciation_profiles.php,20,1,41,Equipments/fleet_depreciation_profiles.php
129,10,"مشرف اسطول",SET,,الإعدادات,Settings/settings.php,30,1,11,Settings/settings.php
138,11,"مشغل اسطول",APPR,,"وحدات الأطراف",Finance/unit_records_fin.php,10,1,105,Finance/unit_records_fin.php
133,11,"مشغل اسطول",DAILY,,التشغيل,Oprators/select_project.php,10,1,23,Oprators/select_project.php
136,11,"مشغل اسطول",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,20,1,114,FinRequests/request_form.php
137,11,"مشغل اسطول",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,30,1,115,FinRequests/my_requests.php
476,11,"مشغل اسطول",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
130,11,"مشغل اسطول",REC,,المعدات,Equipments/equipments_fleet.php,10,1,8,Equipments/equipments_fleet.php
134,11,"مشغل اسطول",REC,,المشرفين,main/project_users.php,20,1,14,main/project_users.php
619,11,"مشغل اسطول",REC,,"قراءات العدّادات",Equipments/meter_readings.php,54,1,155,Equipments/meter_readings.php
135,11,"مشغل اسطول",REP,,"مركز التقارير",Reports/reports.php,10,1,4,Reports/reports.php
139,11,"مشغل اسطول",REP,,"التكاليف والربحية",Finance/cost_report_fin.php,20,1,92,Finance/cost_report_fin.php
131,11,"مشغل اسطول",SET,,"الأنواع والموديلات",Equipments/fleet_models.php,10,1,40,Equipments/fleet_models.php
132,11,"مشغل اسطول",SET,,"إعداد الإهلاك",Equipments/fleet_depreciation_profiles.php,20,1,41,Equipments/fleet_depreciation_profiles.php
140,11,"مشغل اسطول",SET,,الإعدادات,Settings/settings.php,30,1,11,Settings/settings.php
146,12,"ادارة المبيعات",APPR,,"المخاطر التجارية",Clients/commercial_risks.php,10,1,78,Clients/commercial_risks.php
559,12,"ادارة المبيعات",APPR,,"لوحة الإسناد اليومي",Approvals/attribution_board.php,12,1,146,Approvals/attribution_board.php
